circuitId,name,country,url
1,Albert Park Grand Prix Circuit,Australia,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit
2,Sepang International Circuit,Malaysia,http://en.wikipedia.org/wiki/Sepang_International_Circuit
3,Bahrain International Circuit,Bahrain,http://en.wikipedia.org/wiki/Bahrain_International_Circuit
4,Circuit de Barcelona-Catalunya,Spain,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
5,Istanbul Park,Turkey,http://en.wikipedia.org/wiki/Istanbul_Park
6,Circuit de Monaco,Monaco,http://en.wikipedia.org/wiki/Circuit_de_Monaco
7,Circuit Gilles Villeneuve,Canada,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
8,Circuit de Nevers Magny-Cours,France,http://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours
9,Silverstone Circuit,UK,http://en.wikipedia.org/wiki/Silverstone_Circuit
10,Hockenheimring,Germany,http://en.wikipedia.org/wiki/Hockenheimring
11,Hungaroring,Hungary,http://en.wikipedia.org/wiki/Hungaroring
12,Valencia Street Circuit,Spain,http://en.wikipedia.org/wiki/Valencia_Street_Circuit
13,Circuit de Spa-Francorchamps,Belgium,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
14,Autodromo Nazionale di Monza,Italy,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
15,Marina Bay Street Circuit,Singapore,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
16,Fuji Speedway,Japan,http://en.wikipedia.org/wiki/Fuji_Speedway
17,Shanghai International Circuit,China,http://en.wikipedia.org/wiki/Shanghai_International_Circuit
18,Autódromo José Carlos Pace,Brazil,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
19,Indianapolis Motor Speedway,USA,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway
20,Nürburgring,Germany,http://en.wikipedia.org/wiki/N%C3%BCrburgring
21,Autodromo Enzo e Dino Ferrari,Italy,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari
22,Suzuka Circuit,Japan,http://en.wikipedia.org/wiki/Suzuka_Circuit
24,Yas Marina Circuit,UAE,http://en.wikipedia.org/wiki/Yas_Marina_Circuit
25,Autódromo Juan y Oscar Gálvez,Argentina,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez
26,Circuito de Jerez,Spain,http://en.wikipedia.org/wiki/Circuito_Permanente_de_Jerez
27,Autódromo do Estoril,Portugal,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_do_Estoril
28,Okayama International Circuit,Japan,http://en.wikipedia.org/wiki/TI_Circuit
29,Adelaide Street Circuit,Australia,http://en.wikipedia.org/wiki/Adelaide_Street_Circuit
30,Kyalami,South Africa,http://en.wikipedia.org/wiki/Kyalami
31,Donington Park,UK,http://en.wikipedia.org/wiki/Donington_Park
32,Autódromo Hermanos Rodríguez,Mexico,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
33,Phoenix street circuit,USA,http://en.wikipedia.org/wiki/Phoenix_street_circuit
34,Circuit Paul Ricard,France,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit
35,Korean International Circuit,Korea,http://en.wikipedia.org/wiki/Korean_International_Circuit
36,Autódromo Internacional Nelson Piquet,Brazil,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet
37,Detroit Street Circuit,USA,http://en.wikipedia.org/wiki/Detroit_street_circuit
38,Brands Hatch,UK,http://en.wikipedia.org/wiki/Brands_Hatch
39,Circuit Park Zandvoort,Netherlands,http://en.wikipedia.org/wiki/Circuit_Zandvoort
40,Zolder,Belgium,http://en.wikipedia.org/wiki/Zolder
41,Dijon-Prenois,France,http://en.wikipedia.org/wiki/Dijon-Prenois
42,Fair Park,USA,http://en.wikipedia.org/wiki/Fair_Park
43,Long Beach,USA,"http://en.wikipedia.org/wiki/Long_Beach,_California"
44,Las Vegas Street Circuit,USA,http://en.wikipedia.org/wiki/Las_Vegas_Street_Circuit
45,Jarama,Spain,http://en.wikipedia.org/wiki/Circuito_Permanente_Del_Jarama
46,Watkins Glen,USA,http://en.wikipedia.org/wiki/Watkins_Glen_International
47,Scandinavian Raceway,Sweden,http://en.wikipedia.org/wiki/Scandinavian_Raceway
48,Mosport International Raceway,Canada,http://en.wikipedia.org/wiki/Mosport
49,Montjuïc,Spain,http://en.wikipedia.org/wiki/Montju%C3%AFc_circuit
50,Nivelles-Baulers,Belgium,http://en.wikipedia.org/wiki/Nivelles-Baulers
51,Charade Circuit,France,http://en.wikipedia.org/wiki/Charade_Circuit
52,Circuit Mont-Tremblant,Canada,http://en.wikipedia.org/wiki/Circuit_Mont-Tremblant
53,Rouen-Les-Essarts,France,http://en.wikipedia.org/wiki/Rouen-Les-Essarts
54,Le Mans,France,http://en.wikipedia.org/wiki/Circuit_de_la_Sarthe#Bugatti_Circuit
55,Reims-Gueux,France,http://en.wikipedia.org/wiki/Reims-Gueux
56,Prince George Circuit,South Africa,http://en.wikipedia.org/wiki/Prince_George_Circuit
57,Zeltweg,Austria,http://en.wikipedia.org/wiki/Zeltweg_Airfield
58,Aintree,UK,http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit
59,Circuito da Boavista,Portugal,http://en.wikipedia.org/wiki/Circuito_da_Boavista
60,Riverside International Raceway,USA,http://en.wikipedia.org/wiki/Riverside_International_Raceway
61,AVUS,Germany,http://en.wikipedia.org/wiki/AVUS
62,Monsanto Park Circuit,Portugal,http://en.wikipedia.org/wiki/Monsanto_Park_Circuit
63,Sebring International Raceway,USA,http://en.wikipedia.org/wiki/Sebring_Raceway
64,Ain Diab,Morocco,http://en.wikipedia.org/wiki/Ain-Diab_Circuit
65,Pescara Circuit,Italy,http://en.wikipedia.org/wiki/Pescara_Circuit
66,Circuit Bremgarten,Switzerland,http://en.wikipedia.org/wiki/Circuit_Bremgarten
67,Circuit de Pedralbes,Spain,http://en.wikipedia.org/wiki/Pedralbes_Circuit
68,Buddh International Circuit,India,http://en.wikipedia.org/wiki/Buddh_International_Circuit
69,Circuit of the Americas,USA,http://en.wikipedia.org/wiki/Circuit_of_the_Americas
70,Red Bull Ring,Austria,http://en.wikipedia.org/wiki/Red_Bull_Ring
71,Sochi Autodrom,Russia,http://en.wikipedia.org/wiki/Sochi_Autodrom
73,Baku City Circuit,Azerbaijan,http://en.wikipedia.org/wiki/Baku_City_Circuit
75,Autódromo Internacional do Algarve,Portugal,http://en.wikipedia.org/wiki/Algarve_International_Circuit
76,Autodromo Internazionale del Mugello,Italy,http://en.wikipedia.org/wiki/Mugello_Circuit
77,Jeddah Corniche Circuit,Saudi Arabia,http://en.wikipedia.org/wiki/Jeddah_Street_Circuit
78,Losail International Circuit,Qatar,http://en.wikipedia.org/wiki/Losail_International_Circuit
79,Miami International Autodrome,USA,http://en.wikipedia.org/wiki/Miami_International_Autodrome
80,Las Vegas Strip Street Circuit,United States,https://en.wikipedia.org/wiki/Las_Vegas_Grand_Prix#Circuit
81,Madring,Spain,https://en.wikipedia.org/wiki/Madring
