raceId,circuitId,date,name
1,1,2009-03-29,Australian Grand Prix
2,2,2009-04-05,Malaysian Grand Prix
3,17,2009-04-19,Chinese Grand Prix
4,3,2009-04-26,Bahrain Grand Prix
5,4,2009-05-10,Spanish Grand Prix
6,6,2009-05-24,Monaco Grand Prix
7,5,2009-06-07,Turkish Grand Prix
8,9,2009-06-21,British Grand Prix
9,20,2009-07-12,German Grand Prix
10,11,2009-07-26,Hungarian Grand Prix
11,12,2009-08-23,European Grand Prix
12,13,2009-08-30,Belgian Grand Prix
13,14,2009-09-13,Italian Grand Prix
14,15,2009-09-27,Singapore Grand Prix
15,22,2009-10-04,Japanese Grand Prix
16,18,2009-10-18,Brazilian Grand Prix
17,24,2009-11-01,Abu Dhabi Grand Prix
18,1,2008-03-16,Australian Grand Prix
19,2,2008-03-23,Malaysian Grand Prix
20,3,2008-04-06,Bahrain Grand Prix
21,4,2008-04-27,Spanish Grand Prix
22,5,2008-05-11,Turkish Grand Prix
23,6,2008-05-25,Monaco Grand Prix
24,7,2008-06-08,Canadian Grand Prix
25,8,2008-06-22,French Grand Prix
26,9,2008-07-06,British Grand Prix
27,10,2008-07-20,German Grand Prix
28,11,2008-08-03,Hungarian Grand Prix
29,12,2008-08-24,European Grand Prix
30,13,2008-09-07,Belgian Grand Prix
31,14,2008-09-14,Italian Grand Prix
32,15,2008-09-28,Singapore Grand Prix
33,16,2008-10-12,Japanese Grand Prix
34,17,2008-10-19,Chinese Grand Prix
35,18,2008-11-02,Brazilian Grand Prix
36,1,2007-03-18,Australian Grand Prix
37,2,2007-04-08,Malaysian Grand Prix
38,3,2007-04-15,Bahrain Grand Prix
39,4,2007-05-13,Spanish Grand Prix
40,6,2007-05-27,Monaco Grand Prix
41,7,2007-06-10,Canadian Grand Prix
42,19,2007-06-17,United States Grand Prix
43,8,2007-07-01,French Grand Prix
44,9,2007-07-08,British Grand Prix
45,20,2007-07-22,European Grand Prix
46,11,2007-08-05,Hungarian Grand Prix
47,5,2007-08-26,Turkish Grand Prix
48,14,2007-09-09,Italian Grand Prix
49,13,2007-09-16,Belgian Grand Prix
50,16,2007-09-30,Japanese Grand Prix
51,17,2007-10-07,Chinese Grand Prix
52,18,2007-10-21,Brazilian Grand Prix
53,3,2006-03-12,Bahrain Grand Prix
54,2,2006-03-19,Malaysian Grand Prix
55,1,2006-04-02,Australian Grand Prix
56,21,2006-04-23,San Marino Grand Prix
57,20,2006-05-07,European Grand Prix
58,4,2006-05-14,Spanish Grand Prix
59,6,2006-05-28,Monaco Grand Prix
60,9,2006-06-11,British Grand Prix
61,7,2006-06-25,Canadian Grand Prix
62,19,2006-07-02,United States Grand Prix
63,8,2006-07-16,French Grand Prix
64,10,2006-07-30,German Grand Prix
65,11,2006-08-06,Hungarian Grand Prix
66,5,2006-08-27,Turkish Grand Prix
67,14,2006-09-10,Italian Grand Prix
68,17,2006-10-01,Chinese Grand Prix
69,22,2006-10-08,Japanese Grand Prix
70,18,2006-10-22,Brazilian Grand Prix
71,1,2005-03-06,Australian Grand Prix
72,2,2005-03-20,Malaysian Grand Prix
73,3,2005-04-03,Bahrain Grand Prix
74,21,2005-04-24,San Marino Grand Prix
75,4,2005-05-08,Spanish Grand Prix
76,6,2005-05-22,Monaco Grand Prix
77,20,2005-05-29,European Grand Prix
78,7,2005-06-12,Canadian Grand Prix
79,19,2005-06-19,United States Grand Prix
80,8,2005-07-03,French Grand Prix
81,9,2005-07-10,British Grand Prix
82,10,2005-07-24,German Grand Prix
83,11,2005-07-31,Hungarian Grand Prix
84,5,2005-08-21,Turkish Grand Prix
85,14,2005-09-04,Italian Grand Prix
86,13,2005-09-11,Belgian Grand Prix
87,18,2005-09-25,Brazilian Grand Prix
88,22,2005-10-09,Japanese Grand Prix
89,17,2005-10-16,Chinese Grand Prix
90,1,2004-03-07,Australian Grand Prix
91,2,2004-03-21,Malaysian Grand Prix
92,3,2004-04-04,Bahrain Grand Prix
93,21,2004-04-25,San Marino Grand Prix
94,4,2004-05-09,Spanish Grand Prix
95,6,2004-05-23,Monaco Grand Prix
96,20,2004-05-30,European Grand Prix
97,7,2004-06-13,Canadian Grand Prix
98,19,2004-06-20,United States Grand Prix
99,8,2004-07-04,French Grand Prix
100,9,2004-07-11,British Grand Prix
101,10,2004-07-25,German Grand Prix
102,11,2004-08-15,Hungarian Grand Prix
103,13,2004-08-29,Belgian Grand Prix
104,14,2004-09-12,Italian Grand Prix
105,17,2004-09-26,Chinese Grand Prix
106,22,2004-10-10,Japanese Grand Prix
107,18,2004-10-24,Brazilian Grand Prix
108,1,2003-03-09,Australian Grand Prix
109,2,2003-03-23,Malaysian Grand Prix
110,18,2003-04-06,Brazilian Grand Prix
111,21,2003-04-20,San Marino Grand Prix
112,4,2003-05-04,Spanish Grand Prix
113,70,2003-05-18,Austrian Grand Prix
114,6,2003-06-01,Monaco Grand Prix
115,7,2003-06-15,Canadian Grand Prix
116,20,2003-06-29,European Grand Prix
117,8,2003-07-06,French Grand Prix
118,9,2003-07-20,British Grand Prix
119,10,2003-08-03,German Grand Prix
120,11,2003-08-24,Hungarian Grand Prix
121,14,2003-09-14,Italian Grand Prix
122,19,2003-09-28,United States Grand Prix
123,22,2003-10-12,Japanese Grand Prix
124,1,2002-03-03,Australian Grand Prix
125,2,2002-03-17,Malaysian Grand Prix
126,18,2002-03-31,Brazilian Grand Prix
127,21,2002-04-14,San Marino Grand Prix
128,4,2002-04-28,Spanish Grand Prix
129,70,2002-05-12,Austrian Grand Prix
130,6,2002-05-26,Monaco Grand Prix
131,7,2002-06-09,Canadian Grand Prix
132,20,2002-06-23,European Grand Prix
133,9,2002-07-07,British Grand Prix
134,8,2002-07-21,French Grand Prix
135,10,2002-07-28,German Grand Prix
136,11,2002-08-18,Hungarian Grand Prix
137,13,2002-09-01,Belgian Grand Prix
138,14,2002-09-15,Italian Grand Prix
139,19,2002-09-29,United States Grand Prix
140,22,2002-10-13,Japanese Grand Prix
141,1,2001-03-04,Australian Grand Prix
142,2,2001-03-18,Malaysian Grand Prix
143,18,2001-04-01,Brazilian Grand Prix
144,21,2001-04-15,San Marino Grand Prix
145,4,2001-04-29,Spanish Grand Prix
146,70,2001-05-13,Austrian Grand Prix
147,6,2001-05-27,Monaco Grand Prix
148,7,2001-06-10,Canadian Grand Prix
149,20,2001-06-24,European Grand Prix
150,8,2001-07-01,French Grand Prix
151,9,2001-07-15,British Grand Prix
152,10,2001-07-29,German Grand Prix
153,11,2001-08-19,Hungarian Grand Prix
154,13,2001-09-02,Belgian Grand Prix
155,14,2001-09-16,Italian Grand Prix
156,19,2001-09-30,United States Grand Prix
157,22,2001-10-14,Japanese Grand Prix
158,1,2000-03-12,Australian Grand Prix
159,18,2000-03-26,Brazilian Grand Prix
160,21,2000-04-09,San Marino Grand Prix
161,9,2000-04-23,British Grand Prix
162,4,2000-05-07,Spanish Grand Prix
163,20,2000-05-21,European Grand Prix
164,6,2000-06-04,Monaco Grand Prix
165,7,2000-06-18,Canadian Grand Prix
166,8,2000-07-02,French Grand Prix
167,70,2000-07-16,Austrian Grand Prix
168,10,2000-07-30,German Grand Prix
169,11,2000-08-13,Hungarian Grand Prix
170,13,2000-08-27,Belgian Grand Prix
171,14,2000-09-10,Italian Grand Prix
172,19,2000-09-24,United States Grand Prix
173,22,2000-10-08,Japanese Grand Prix
174,2,2000-10-22,Malaysian Grand Prix
175,1,1999-03-07,Australian Grand Prix
176,18,1999-04-11,Brazilian Grand Prix
177,21,1999-05-02,San Marino Grand Prix
178,6,1999-05-16,Monaco Grand Prix
179,4,1999-05-30,Spanish Grand Prix
180,7,1999-06-13,Canadian Grand Prix
181,8,1999-06-27,French Grand Prix
182,9,1999-07-11,British Grand Prix
183,70,1999-07-25,Austrian Grand Prix
184,10,1999-08-01,German Grand Prix
185,11,1999-08-15,Hungarian Grand Prix
186,13,1999-08-29,Belgian Grand Prix
187,14,1999-09-12,Italian Grand Prix
188,20,1999-09-26,European Grand Prix
189,2,1999-10-17,Malaysian Grand Prix
190,22,1999-10-31,Japanese Grand Prix
191,1,1998-03-08,Australian Grand Prix
192,18,1998-03-29,Brazilian Grand Prix
193,25,1998-04-12,Argentine Grand Prix
194,21,1998-04-26,San Marino Grand Prix
195,4,1998-05-10,Spanish Grand Prix
196,6,1998-05-24,Monaco Grand Prix
197,7,1998-06-07,Canadian Grand Prix
198,8,1998-06-28,French Grand Prix
199,9,1998-07-12,British Grand Prix
200,70,1998-07-26,Austrian Grand Prix
201,10,1998-08-02,German Grand Prix
202,11,1998-08-16,Hungarian Grand Prix
203,13,1998-08-30,Belgian Grand Prix
204,14,1998-09-13,Italian Grand Prix
205,20,1998-09-27,Luxembourg Grand Prix
206,22,1998-11-01,Japanese Grand Prix
207,1,1997-03-09,Australian Grand Prix
208,18,1997-03-30,Brazilian Grand Prix
209,25,1997-04-13,Argentine Grand Prix
210,21,1997-04-27,San Marino Grand Prix
211,6,1997-05-11,Monaco Grand Prix
212,4,1997-05-25,Spanish Grand Prix
213,7,1997-06-15,Canadian Grand Prix
214,8,1997-06-29,French Grand Prix
215,9,1997-07-13,British Grand Prix
216,10,1997-07-27,German Grand Prix
217,11,1997-08-10,Hungarian Grand Prix
218,13,1997-08-24,Belgian Grand Prix
219,14,1997-09-07,Italian Grand Prix
220,70,1997-09-21,Austrian Grand Prix
221,20,1997-09-28,Luxembourg Grand Prix
222,22,1997-10-12,Japanese Grand Prix
223,26,1997-10-26,European Grand Prix
224,1,1996-03-10,Australian Grand Prix
225,18,1996-03-31,Brazilian Grand Prix
226,25,1996-04-07,Argentine Grand Prix
227,20,1996-04-28,European Grand Prix
228,21,1996-05-05,San Marino Grand Prix
229,6,1996-05-19,Monaco Grand Prix
230,4,1996-06-02,Spanish Grand Prix
231,7,1996-06-16,Canadian Grand Prix
232,8,1996-06-30,French Grand Prix
233,9,1996-07-14,British Grand Prix
234,10,1996-07-28,German Grand Prix
235,11,1996-08-11,Hungarian Grand Prix
236,13,1996-08-25,Belgian Grand Prix
237,14,1996-09-08,Italian Grand Prix
238,27,1996-09-22,Portuguese Grand Prix
239,22,1996-10-13,Japanese Grand Prix
240,18,1995-03-26,Brazilian Grand Prix
241,25,1995-04-09,Argentine Grand Prix
242,21,1995-04-30,San Marino Grand Prix
243,4,1995-05-14,Spanish Grand Prix
244,6,1995-05-28,Monaco Grand Prix
245,7,1995-06-11,Canadian Grand Prix
246,8,1995-07-02,French Grand Prix
